地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
人气 天泓山庄丽山苑 靠紫金山 低密度洋房,采光好业主诚售 3室2厅 | 147.18㎡ | 中层 （共4层） | 南向 | 2008年建 | 易功瑞 天泓山庄 马群-环陵路1号 满五 满五唯一 优质教育 距2号线马群站约886米 390 万 26498元/㎡
春季特价房仙林湖栖霞建设 花园洋房 直降100万 金陵中 3室2厅 | 82㎡ | 中层 （共11层） | 南北向 | 2018年建 | 张长伟 星叶枫情水岸 仙林-星叶枫情水岸 满二 优质教育 200 万 24390元/㎡
近虹悦城近大润发浦口金樾府拎包入住 3室2厅 | 116.17㎡ | 低层 （共18层） | 南北向 | 2023年建 | 戈振 新城金郡 尧化-仙新路与3号东路交汇处 优质教育 距7号线仙新路站约590米 256 万 22036元/㎡
来电咨询折扣!燕子矶新核 一号线晓庄地铁站100米 精装交付 3室2厅 | 99㎡ | 中层 （共23层） | 南向 | 2023年建 | 许金虎 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 260 万 26262元/㎡
人气 紫金山旁 马群口 丽山苑边户 精装修 急卖 急卖 3室2厅 | 140.7㎡ | 中层 （共4层） | 南向 | 2008年建 | 张磊 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 460 万 32693元/㎡
人气 毛坯房给您更多的自由装修空间 3室2厅 | 88.32㎡ | 低层 （共10层） | 南北向 | 2020年建 | 邓婷婷 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满二 110 万 12454元/㎡
特价 仙林 · 依云溪谷 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 独栋 | 卧室：3个 | 无花园 | 230.39㎡ | 南向 | 余莉莉 依云溪谷 仙林-仙林大道汇通路8号 满五 优质教育 距2号线学则路站约609米 799 万 34680元/㎡ 低于市场价361万
人气 新上 万达茂 御湖世家 精装修满两年 金中金小 急售 3室2厅 | 88.17㎡ | 低层 （共33层） | 南北向 | 2000年建 | 邓婷婷 御湖仕家 仙林-仙林大道与守敬路交汇处向东100米 满五 优质教育 距4号线仙林湖站约713米 180 万 20415元/㎡
热搜 人气 马群口 中垠紫金观邸 大三房改善 商业扎堆推进中 多套在售 3室2厅 | 123㎡ | 中层 （共14层） | 南向 | 2018年建 | 易功瑞 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满五 满五唯一 距2号线马群站约365米 280 万 22764元/㎡
特价 仙林 · 学仕风华苑 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 90.6㎡ | 顶层 （共5层） | 南向 | 2009年建 | 孟全 仙林诚品城 仙林-仙境路29号 满五 156 万 17218元/㎡ 低于市场价29万
新特价127平方460万143平6楼586万半山玥府 3室2厅 | 127㎡ | 低层 （共8层） | 南北向 | 2024年建 | 张长伟 半山云邸 仙林-半山云邸 460 万 36220元/㎡
人气 仙林万达茂 双地铁 金中金小 双书包 新城急售 低30万 3室2厅 | 90.27㎡ | 中层 （共26层） | 南北向 | 2000年建 | 邓婷婷 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 189 万 20937元/㎡
特价 仙林 · 仙鹤山庄 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 99㎡ | 中层 （共6层） | 南北向 | 2002年建 | 孟全 仙鹤山庄 仙鹤门-仙隐北路4号 满二 优质教育 210 万 21212元/㎡ 低于市场价13万
马群中垠紫金观邸 主城板块 大四房 诚意卖 价格可谈 4室2厅 | 141.3㎡ | 高层 （共14层） | 南北向 | 2019年建 | 易功瑞 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满五 满五唯一 距2号线马群站约365米 326 万 23071元/㎡
特价 仙林 · 学仕风华苑 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 90.49㎡ | 顶层 （共6层） | 南向 | 2009年建 | 孟全 仙林诚品城 仙林-仙境路29号 满二 153 万 16907元/㎡ 低于市场价29万
地铁口 洋房 复式顶跃 超大实用面积 换房急售 4室2厅 | 129.82㎡ | 高层 （共7层） | 南北向 | 2020年建 | 孔倩 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 465 万 35818元/㎡
特价 高档小区 燕子矶 仁恒公园世纪 电梯小洋房 3室2厅 | 130.64㎡ | 高层 （共11层） | 南向 | 2000年建 | 夏菊 仁恒公园世纪 燕子矶-燕园路37号 满五 距1号线笆斗山站约634米 495 万 37890元/㎡ 低于市场价37万
月桂园精装修大两房 好楼层94平 100万左右出手 2室2厅 | 94.45㎡ | 低层 （共24层） | 南向 | 吴彩娣 上铁月桂园 尧化-栖霞区尧和西路2号 满五 距7号线尧化新村站约936米 108 万 11434元/㎡
特价 热搜 人气 好楼层,足不出户就找到好房! 3室2厅 | 88.19㎡ | 高层 （共20层） | 南向 | 2000年建 | 夏菊 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 225 万 25513元/㎡ 低于市场价46万
特价 仙林大学城 康桥圣菲 精装修三室二厅 自住保养好 拎包入住 双重验真 官方发布 房天下房源字典核验 3室2厅 | 133.4㎡ | 中层 （共6层） | 南北向 | 2007年建 | 孟全 康桥圣菲 仙林-文范路9号 满五 优质教育 距2号线学则路站约490米 455 万 34107元/㎡ 低于市场价33万
热搜 仙鹤门 · 世茂招商语山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 107.87㎡ | 中层 （共6层） | 南北向 | 2017年建 | 孟全 世茂招商语山 仙鹤门-世茂招商语山 满五 距2号线金马路站约730米 359 万 33280元/㎡
此房南北全明户型,采光通风好,小区配套齐全 6室3厅 | 235.27㎡ | 底层 （共9层） | 南北向 | 2015年建 | 孔倩 大发燕澜湾 燕子矶-和燕路498号(苏果超市和燕路店东南侧) 满五 优质教育 距1号线燕子矶站约373米 398 万 16916元/㎡
低价抛售、标题俗、价格俗、可房源不俗,等什么呢? 4室2厅 | 143.68㎡ | 低层 （共26层） | 南北向 | 2000年建 | 凌晓伟 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满五 距1号线晓庄站约1109米 450 万 31319元/㎡
特价 仙林 · 东方天郡西区 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 125.41㎡ | 高层 （共17层） | 南北向 | 2008年建 | 孟全 东方天郡 仙林-仙林大学城杉湖西路8号 满五 优质教育 距2号线学则路站约582米 430 万 34287元/㎡ 低于市场价32万
清盘内部价燕子矶 万象汇商场 国企开发商 精装修现房 双地铁 4室2厅 | 139㎡ | 低层 （共26层） | 南北向 | 2019年建 | 李小朋 华发·四季雅筑 晓庄-栖霞区燕子矶街道壮举路与吉祥街交汇处 满二 距1号线八卦洲大桥南站约1064米 389 万 27985元/㎡
万象天地 九悦 电梯小洋房 地铁6 7号线 3室2厅 | 98.7㎡ | 中层 （共8层） | 南向 | 2000年建 | 夏菊 万象天地·九悦 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满五 距7号线万寿站约557米 350 万 35460元/㎡
特价 人气 便宜只是一方面,房子好才是硬道理!! 3室2厅 | 88.87㎡ | 低层 （共27层） | 南北向 | 2000年建 | 凌晓伟 万科·燕语光年 迈皋桥-栖霞大道与燕园路交汇处 满五 275 万 30944元/㎡ 低于市场价32万
热搜 人气 仙鹤门 · 保利紫晶山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 142.2㎡ | 高层 （共6层） | 南北向 | 2012年建 | 余莉莉 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 486 万 34177元/㎡
一步到位!精装修朝向:朝南!急售三天!!! 2室1厅 | 90.38㎡ | 低层 （共32层） | 南向 | 2000年建 | 黄朋飞 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 满五 距1号线晓庄站约582米 260 万 28767元/㎡
紫金尚园大平层 满五年 南北通透 视野无遮挡 楼间距大 4室2厅 | 210.57㎡ | 低层 （共10层） | 南北向 | 2013年建 | 易功瑞 招商紫金山1号 马群-环陵路99号 满五 满五唯一 优质教育 距2号线马群站约109米 600 万 28494元/㎡
特价 仙鹤门 · 保利紫晶山 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 169.92㎡ | 低层 （共6层） | 南北向 | 2010年建 | 李雪 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 538 万 31661元/㎡ 低于市场价56万
一梯一户 地铁口 高得房率 全明通透 精装 换 3室2厅 | 121.73㎡ | 中层 （共17层） | 南北向 | 2022年建 | 孔倩 佳兆业燕然居 燕子矶-栖霞区观音门路2号 满二 330 万 27109元/㎡
热搜 人气 新特价金浦御龙湾 城北正核 配套成熟 晓庄口 性价比 3室2厅 | 112㎡ | 高层 （共30层） | 南北向 | 2023年建 | 陈群芳 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 260 万 23214元/㎡
超低单价,不临街,随时腾房265万元普通住宅 3室2厅 | 88.66㎡ | 低层 （共18层） | 南北向 | 2000年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满五 距2号线经天路站约1057米 265 万 29889元/㎡
人气 仙林 · 高科荣域 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 134.27㎡ | 高层 （共11层） | 南北向 | 2014年建 | 孟全 高科荣域 仙林-仙林大学城文澜路与仙境路交叉口向西100米 满五 495 万 36866元/㎡
新特价清盘中低密度现房住宅 品质改善栖霞区百水桥口 3室1厅 | 104㎡ | 中层 （共18层） | 南北向 | 2022年建 | 毛国忠 润栖府 马群-南京市栖霞区宁芝路与美芝嘉路交汇处 满二 距s6号线百水桥站约514米 255 万 24519元/㎡
金中金小,2号线,4号线双地铁,金中金小,免费领取资料包 3室2厅 | 99㎡ | 低层 （共25层） | 南向 | 2019年建 | 段伟成 兰亭和颂 迈皋桥-兰亭和颂 距4号线仙林湖站约423米 238 万 24040元/㎡
内部特价1号线迈皋桥 核心品质小区 精装交付 二十九中 2室2厅 | 89㎡ | 底层 （共1层） | 南北向 | 2016年建 | 许金虎 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 208 万 23370元/㎡
新房源,生活配套全,环境优美。 3室2厅 | 121.61㎡ | 中层 （共16层） | 南北向 | 2000年建 | 夏菊 佳兆业燕然居 燕子矶-观音门街2号 满五 430 万 35358元/㎡
地铁口100米 佳邻美居精装修3房 110万可以谈 诚心卖 3室1厅 | 91.37㎡ | 顶层 （共6层） | 南向 | 吴彩娣 赞成佳邻美居 尧化-尧新大道11号 满五 优质教育 距7号线尧化新村站约419米 110 万 12038元/㎡
紫金山脚下 洋房 一楼带院子 业主诚心出售 4室3厅 | 226.27㎡ | 低层 （共10层） | 南向 | 2018年建 | 张磊 招商紫金山1号 马群-环陵路99号 满二 优质教育 距2号线马群站约109米 699 万 30892元/㎡
不懂得怎么买房的我们,还以为观望就是传说,您遇过这精品房源吗 3室2厅 | 75.45㎡ | 中层 （共11层） | 南北向 | 2000年建 | 凌晓伟 林景瑞园 迈皋桥-栖霞区和燕路319号 满五 优质教育 距1号线晓庄站约1001米 288 万 38170元/㎡
热搜 人气 仙林翠谷海棠街区480平类独栋单价8500 独栋 | 卧室：5个 | 花园：120平米 | 300㎡ | 北向 | 袁洁 新湖仙林翠谷别墅 龙潭-栖霞区句容宝华镇 满二 430 万 14333元/㎡
热搜 人气 强烈推荐,金浦御龙湾H区,户型方正,您值得拥有 3室1厅 | 88.71㎡ | 低层 （共20层） | 南向 | 2000年建 | 黄朋飞 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 219 万 24687元/㎡
仙林 · 中天铭廷 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 126㎡ | 高层 （共18层） | 南北向 | 2015年建 | 孟全 中天铭廷 仙林-文成路3号(学海路和文成路交汇处) 满五 360 万 28571元/㎡
人气 栖霞欢乐谷南外學岖,开发全程免费 3室2厅 | 88㎡ | 高层 （共11层） | 南北向 | 2020年建 | 段伟成 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 110 万 12500元/㎡
仙林湖 · 半山云邸 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 123㎡ | 高层 （共11层） | 南北向 | 2021年建 | 孟全 半山云邸 仙林-半山云邸 438 万 35609元/㎡
零首付,现房精装修出售 特价房 找我可破底价! 3室2厅 | 86.05㎡ | 中层 （共20层） | 南北向 | 2015年建 | 袁洁 中骏东原·璟阅 龙潭-纬一路与三江河东路交汇处 满二 80 万 9296元/㎡
新空未入住 紧邻地铁笆斗山站 南师附中附小 融创玉兰公馆 3室1厅 | 89.75㎡ | 低层 （共33层） | 南北向 | 2018年建 | 夏菊 融创玉兰公馆 燕子矶-融创玉兰公馆 满五 距1号线笆斗山站约699米 262 万 29192元/㎡
来电免费接送!主城燕子矶一号线晓庄地铁口精装三房 保利国贸璟 3室2厅 | 89㎡ | 中层 （共23层） | 南向 | 2023年建 | 王彩丽 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 260 万 29213元/㎡
人气 复地御钟山三期 中间位置 好楼层 采光棒 业主诚售 3室2厅 | 185㎡ | 高层 （共7层） | 南北向 | 2023年建 | 易功瑞 复地御钟山 马群-马群街道2号 满五唯一 优质教育 距2号线马群站约479米 698 万 37729元/㎡
特价 热搜 人气 仙鹤门 · 保利紫晶山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 142.2㎡ | 中层 （共6层） | 南北向 | 2010年建 | 孟全 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满二 优质教育 距2号线仙鹤门站约444米 450 万 31645元/㎡ 低于市场价65万
特价 热搜 人气 仙林 · 亚东城西区 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 94.58㎡ | 低层 （共11层） | 南北向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 248 万 26221元/㎡ 低于市场价32万
热搜 人气 115.01平标准,小窝照样温馨! 3室2厅 | 115.01㎡ | 中层 （共20层） | 东北向 | 2000年建 | 凌晓伟 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 275 万 23910元/㎡
五月份特价房89平,245W起板块小户型仙林湖泷悦雅颂 3室2厅 | 89㎡ | 低层 （共26层） | 南向 | 2024年建 | 陈群芳 泷悦雅颂 仙林湖-东至现状,南至现状,西至白象路,北至广志路 距4号线仙林湖站约232米 235 万 26404元/㎡
特价 亲,我这里什么都没有,只有好房,而您买的只有幸福 3室1厅 | 130.64㎡ | 中层 （共11层） | 南北向 | 2000年建 | 黄朋飞 仁恒公园世纪 燕子矶-燕园路37号 满五 距1号线笆斗山站约634米 499 万 38196元/㎡ 低于市场价16万
特价 仙林沁兰雅筑5室3厅 双重验真 官方发布 房天下房源字典核验 独栋 | 卧室：4个 | 无花园 | 239㎡ | 南向 | 孟全 沁兰雅筑 仙林-仙隐北路15号 满五 优质教育 1450 万 60669元/㎡ 低于市场价276万
天上其实每天都在掉馅饼!这样的价格你犹豫就没了 4室2厅 | 129.72㎡ | 高层 （共7层） | 南北向 | 2000年建 | 凌晓伟 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 498 万 38390元/㎡
仙林湖 · 融筑儒林花园 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 133.3㎡ | 低层 （共18层） | 南北向 | 2020年建 | 张月红 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满二 距2号线经天路站约1057米 408 万 30607元/㎡
主城栖霞,央企现房,89平3房2卫,内部特价! 3室2厅 | 85.4㎡ | 中层 （共25层） | 南北向 | 2019年建 | 段伟成 中交保利·翠语江岚 栖霞-东至规划观江路, 南至规划江南路 123 万 14402元/㎡
人气 高科荣境1期品质小区精装修人车分流金中金小 急售 3室2厅 | 122.78㎡ | 底层 （共11层） | 南向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 380 万 30949元/㎡
来电详谈折扣!栖霞兴智精装三房 双线地铁 璀璨云著 3室2厅 | 89㎡ | 中层 （共26层） | 南北向 | 2020年建 | 李小朋 璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 170 万 19101元/㎡
找我价格好谈 急售 晓庄 地铁1 7号线 大地伊利雅特花园 2室1厅 | 82.23㎡ | 低层 （共11层） | 南北向 | 2010年建 | 夏菊 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 189 万 22984元/㎡
人气 高科荣境 123.71平3居 南北向精装修 自住保养好 3室2厅 | 123.71㎡ | 中层 （共11层） | 南北向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 450 万 36375元/㎡
双地铁口招商花园城 万象汇旁 精装交付 边户楼层佳 4室2厅 | 158.36㎡ | 高层 （共17层） | 南北向 | 2022年建 | 孔倩 万象天地·四季 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满二 距7号线万寿站约556米 549 万 34667元/㎡
